date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:17	60327/60327	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_sortable.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_sortable.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:18	1721/1721	---M--	200	added ('OK')	image/png	etag:%225b42889a-6b9%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_07_tn.png	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/assets/img/avatars/avatar_07_tn.png	(from http://altair_html.tzdthemes.com/index.html)
09:27:18	67843/67843	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:18%20GMT	http://altair_html.tzdthemes.com/components_tabs.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/components_tabs.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:18	1677/1677	---M--	200	added ('OK')	image/png	etag:%225b42889a-68d%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_02_tn.png	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/assets/img/avatars/avatar_02_tn.png	(from http://altair_html.tzdthemes.com/index.html)
09:27:18	1642/1642	---M--	200	added ('OK')	image/png	etag:%225b42889a-66a%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_09_tn.png	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/assets/img/avatars/avatar_09_tn.png	(from http://altair_html.tzdthemes.com/index.html)
09:27:19	1689/1689	---M--	200	added ('OK')	image/png	etag:%225b42889a-699%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_11_tn.png	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/assets/img/avatars/avatar_11_tn.png	(from http://altair_html.tzdthemes.com/index.html)
09:27:19	68295/68295	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:23%20GMT	http://altair_html.tzdthemes.com/page_settings.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/page_settings.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:19	8079/8079	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:16%20GMT	http://altair_html.tzdthemes.com/login.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/login.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:20	10878/10878	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2021:57:16%20GMT	http://altair_html.tzdthemes.com/login_v2.html	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/login_v2.html	(from http://altair_html.tzdthemes.com/index.html)
09:27:20	466/466	---M--	200	added ('OK')	image/png	etag:%225b428897-1d2%22	http://altair_html.tzdthemes.com/assets/img/logo_main.png	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/assets/img/logo_main.png	(from http://altair_html.tzdthemes.com/index.html)
09:27:20	407/407	---M--	200	added ('OK')	image/png	etag:%225b428897-197%22	http://altair_html.tzdthemes.com/assets/img/logo_main_white.png	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/assets/img/logo_main_white.png	(from http://altair_html.tzdthemes.com/index.html)
09:27:20	461/461	---M--	200	added ('OK')	image/png	etag:%225b428897-1cd%22	http://altair_html.tzdthemes.com/assets/img/logo_main_small.png	D:/Clone-Theme/ALTAIR/altair_html.tzdthemes.com/assets/img/logo_main_small.png	(from http://altair_html.tzdthemes.com/index.html)
